2024-04-16 00:50:02.335411,User,begineers?
2024-04-16 00:50:02.335411,Bot,Bye! Come back again soon.
2024-04-16 00:50:12.636046,User,suitable for begineers?
2024-04-16 00:50:12.636046,Bot,sorry I am unable to answer your question can you clarify?
2024-04-16 00:50:33.650727,User,suitable for beginners?
2024-04-16 00:50:33.650727,Bot,"Yes, this course offers a gentle introduction for beginners."
2024-04-16 00:50:55.970057,User,Beginner level course?
2024-04-16 00:50:55.970057,Bot,"Absolutely, this course provides a solid foundation for beginners."
2024-04-16 00:54:50.965950,User,hey
2024-04-16 00:54:50.965950,Bot,Hey :-)
2024-04-16 00:54:52.469206,User,how r u
2024-04-16 00:54:52.469206,Bot,My pleasure
2024-04-16 00:57:04.606323,User,hey
2024-04-16 00:57:04.606323,Bot,Hello! How can I assist you today?
2024-04-16 00:57:11.735885,User,can u give me something
2024-04-16 00:57:11.735885,Bot,"Our course covers a wide range of topics related to DSA, competitive Programming, Web Development, Blockchain, etc."
2024-04-16 01:00:28.132348,User,heyye
2024-04-16 01:00:28.132348,Bot,"See you later, thanks for visiting"
